feature,abs_coefficient,sign
attribute_89,0.0013593874252621528,+
attribute_469,0.001257024699089239,-
attribute_511,0.0008252338387907721,+
attribute_512,0.00073438548530883,+
attribute_489,0.000492567188527006,-
attribute_3,0.00045131083084025327,+
attribute_2,0.00044191925627989193,+
attribute_419,0.0004390601374281261,-
attribute_91,0.00043687267210104836,-
attribute_487,0.00038540327053777505,+
attribute_485,0.0003714910812068981,-
attribute_522,0.00033416734860765854,+
attribute_22,0.00028946613894101586,+
attribute_161,0.00023397154578829737,+
attribute_23,0.00023036511143522266,+
attribute_486,0.00022512102438954318,-
attribute_56,0.00021857454410956513,+
attribute_205,0.0001833828862943091,-
attribute_141,0.0001705812767741681,-
attribute_4,0.00014499370891388178,-
attribute_483,0.00013564871817151026,-
attribute_490,0.00013025927825088127,+
attribute_500,0.00010338016366111288,-
attribute_501,6.355215768048537e-05,+
attribute_162,3.892490970605576e-05,-
attribute_434,3.537862642042285e-05,+
attribute_488,2.7675294052029994e-05,-
attribute_24,2.187300835788077e-05,-
attribute_25,1.8876675861169883e-05,-
